coin,cluster_id,t_start,t_end,deficit_usd,total_capacity_usd,budget_queue_usd,overshoot_queue_usd,residual_queue_usd
2Z,1,2025-10-10 21:18:23.989000+00:00,2025-10-10 21:18:23.989000+00:00,0.0,14282.587064999996,12608.775737,12608.775737,0.0
2Z,2,2025-10-10 21:18:44.652000+00:00,2025-10-10 21:18:44.652000+00:00,0.0,312835.63169896224,187931.87049891517,187931.87049891517,0.0
2Z,3,2025-10-10 21:19:25.321000+00:00,2025-10-10 21:19:25.321000+00:00,0.0,1342.0321402382208,936.3651545414692,936.3651545414692,0.0
2Z,4,2025-10-10 21:19:40.207000+00:00,2025-10-10 21:19:40.207000+00:00,0.0,6844.480509999999,4079.3055099999997,4079.3055099999997,0.0
2Z,5,2025-10-10 21:19:46.665000+00:00,2025-10-10 21:19:46.665000+00:00,0.0,17549.80856965865,17531.401740808637,17531.401740808637,0.0
AAVE,1,2025-10-10 21:16:56.356000+00:00,2025-10-10 21:16:56.356000+00:00,0.0,29424.18699999999,2616.88734,2616.88734,0.0
AAVE,2,2025-10-10 21:17:14.132000+00:00,2025-10-10 21:17:14.132000+00:00,0.0,164109.9660506343,145814.3540221882,145814.3540221882,0.0
AAVE,3,2025-10-10 21:18:23.989000+00:00,2025-10-10 21:18:23.989000+00:00,0.0,100318.29171999998,69841.27237,69841.27237,0.0
AAVE,4,2025-10-10 21:18:41.686000+00:00,2025-10-10 21:18:44.652000+00:00,0.0,728449.1223107035,573102.5813933403,573102.5813933403,0.0
AAVE,5,2025-10-10 21:18:50.860000+00:00,2025-10-10 21:18:50.860000+00:00,0.0,104717.11641600002,37094.87996,37094.87996,0.0
AAVE,6,2025-10-10 21:19:03.101000+00:00,2025-10-10 21:19:03.101000+00:00,0.0,11157.5369,219.426432,219.426432,0.0
AAVE,7,2025-10-10 21:19:18.209000+00:00,2025-10-10 21:19:18.209000+00:00,0.0,42066.652835174114,31645.195656174117,31645.195656174117,0.0
AAVE,8,2025-10-10 21:19:25.321000+00:00,2025-10-10 21:19:25.321000+00:00,0.0,1700574.9463552707,551269.1300152708,551269.1300152708,0.0
AAVE,9,2025-10-10 21:19:31.173000+00:00,2025-10-10 21:19:31.173000+00:00,0.0,35.545,28.43608,28.43608,0.0
AAVE,10,2025-10-10 21:19:40.207000+00:00,2025-10-10 21:19:40.207000+00:00,0.0,7.705790188205846,7.705790188205846,7.705790188205846,0.0
AAVE,11,2025-10-10 21:19:46.665000+00:00,2025-10-10 21:19:46.665000+00:00,0.0,30678.4375,50.831088,50.831088,0.0
AAVE,12,2025-10-10 21:20:04.816000+00:00,2025-10-10 21:20:11.547000+00:00,0.0,884178.5879999899,62353.98081430067,62353.98081430067,0.0
AAVE,13,2025-10-10 21:20:16.794000+00:00,2025-10-10 21:20:16.794000+00:00,0.0,101070.7708527325,9.872855061761031,9.872855061761031,0.0
AAVE,14,2025-10-10 21:21:51.101000+00:00,2025-10-10 21:21:51.101000+00:00,58123.197037000005,819.70822,819.70822,0.0,57303.488817000005
ACE,1,2025-10-10 21:18:50.860000+00:00,2025-10-10 21:18:50.860000+00:00,0.0,0.0,0.0,0.0,0.0
ADA,1,2025-10-10 21:16:04.831000+00:00,2025-10-10 21:16:04.831000+00:00,0.0,3432.5930799999996,2210.1441079999995,2210.1441079999995,0.0
ADA,2,2025-10-10 21:17:14.132000+00:00,2025-10-10 21:17:14.132000+00:00,0.0,42316.705737455864,30921.46909599983,30921.46909599983,0.0
ADA,3,2025-10-10 21:18:23.989000+00:00,2025-10-10 21:18:23.989000+00:00,15943.16871399998,1436518.6909575886,1214964.6372206872,1199021.4685066873,0.0
ADA,4,2025-10-10 21:18:41.686000+00:00,2025-10-10 21:18:44.652000+00:00,0.0,54867.9945363898,43261.67110280229,43261.67110280229,0.0
ADA,5,2025-10-10 21:19:12.705000+00:00,2025-10-10 21:19:12.705000+00:00,0.0,1430.0249999999996,38.1346,38.1346,0.0
ADA,6,2025-10-10 21:19:18.209000+00:00,2025-10-10 21:19:18.209000+00:00,0.0,419607.3658693007,184557.34434730065,184557.34434730065,0.0
ADA,7,2025-10-10 21:19:25.321000+00:00,2025-10-10 21:19:25.321000+00:00,0.0,94.21769898834486,71.10734300766005,71.10734300766005,0.0
ADA,8,2025-10-10 21:19:34.026000+00:00,2025-10-10 21:19:34.026000+00:00,0.0,316240.3554,50762.082519999996,50762.082519999996,0.0
ADA,9,2025-10-10 21:19:40.207000+00:00,2025-10-10 21:19:40.207000+00:00,0.0,2407414.70898,3805.684468,3805.684468,0.0
ADA,10,2025-10-10 21:19:46.665000+00:00,2025-10-10 21:19:46.665000+00:00,0.0,1217615.7026366435,3841.9102432728423,3841.9102432728423,0.0
ADA,11,2025-10-10 21:20:04.816000+00:00,2025-10-10 21:20:04.816000+00:00,0.0,1274656.910315184,107256.0786342182,107256.0786342182,0.0
ADA,12,2025-10-10 21:20:28.872000+00:00,2025-10-10 21:20:28.872000+00:00,0.0,2451.5151900000005,632.9034,632.9034,0.0
AI16Z,1,2025-10-10 21:18:23.989000+00:00,2025-10-10 21:18:23.989000+00:00,0.0,779.585499,569.0062730000001,569.0062730000001,0.0
AI16Z,2,2025-10-10 21:18:44.652000+00:00,2025-10-10 21:18:44.652000+00:00,2657.9342430000033,32986.52483516895,17226.441728306247,14568.507485306243,0.0
