wave,t_start,t_end,budget_needed,budget_prod,budget_pr,budget_pnl_pr,budget_eq_pr,budget_vector,budget_contract_pr,budget_fixed_point_ilp_integer,overshoot_prod,overshoot_pr,overshoot_pnl_pr,overshoot_eq_pr,overshoot_vector,overshoot_contract_pr,overshoot_fixed_point_ilp_integer,max_pct_prod,max_pct_pr,max_pct_pnl_pr,max_pct_eq_pr,max_pct_vector,max_pct_contract_pr,max_pct_fixed_point_ilp_integer,ptsr_prod,ptsr_pr,ptsr_pnl_pr,ptsr_eq_pr,ptsr_vector,ptsr_contract_pr,ptsr_fixed_point_ilp_integer,rd_nse_prod,rd_nse_pr,rd_nse_pnl_pr,rd_nse_eq_pr,rd_nse_vector,rd_nse_contract_pr,rd_nse_fixed_point_ilp_integer,pmr_prod,pmr_pr,pmr_pnl_pr,pmr_eq_pr,pmr_vector,pmr_contract_pr,pmr_fixed_point_ilp_integer,total_cap,budget_target,fixed_point_ilp_scale,deficit_usd,max_loss_usd,theta_prod_capped,theta_needed_capped
1,2025-10-10 21:16:04.831000+00:00,2025-10-10 21:16:04.831000+00:00,2266239.82024108,414233.9705960059,2266239.82024108,2266239.8202410806,2266239.820241073,2025611.27267621,1894916.177086008,2267667.600666998,-1852005.8496450742,0.0,4.656612873077393e-10,-6.984919309616089e-09,-240628.5475648702,-371323.6431550721,1427.7804259178229,1.0,0.00867329682886033,0.01913154225547407,0.0026398658333359076,0.02298654599109082,0.0979508137827174,0.10636806081535559,3.5285285587626523,4.246049078622146,4.246049371877987,4.257646847262054,4.14502738548834,4.0926085845367455,4.264134340352875,0.779177720307182,0.8093803574817783,0.8093803681374774,0.8098008426486928,0.805637574870734,0.8036369802626474,0.8100352431482655,3.5285285587626523,4.246049078622146,4.246049371877987,4.257646847262054,4.14502738548834,4.0926085845367455,4.264134340352875,261289318.808989,2266239.82024108,1.0,10925707.159377944,10925707.159377944,0.0379136988163236,0.2074227129816381
2,2025-10-10 21:16:56.356000+00:00,2025-10-10 21:16:56.356000+00:00,1383878.3247609977,171137.10349601306,1383878.3247609977,1383878.3247609981,1383878.3247609981,1331080.7650619484,1209960.0569409975,1383950.4246029984,-1212741.2212649847,0.0,4.656612873077393e-10,4.656612873077393e-10,-52797.55969904922,-173918.26782000018,72.09984200075269,0.6611563723958445,0.006570029268488327,0.010038280636563047,0.001907563057551187,0.007791949131744465,0.04472105837392022,0.06245461098450165,3.519400256357975,3.9398177906496845,3.9398177960074023,3.94311294563115,3.921009151663519,3.8747007447873565,3.9391812073491397,0.7787317025985513,0.7975633834323107,0.7975633836518732,0.7976983307889361,0.796789648387068,0.7948592021634711,0.797537292514785,3.5256902021538705,3.9468591154618085,3.946859120829102,3.9501601596132216,3.9280168612823996,3.8816256910522773,3.9462213944462663,210635031.931815,1383878.3247609977,1.0,10945233.811877944,10925707.159377944,0.0156357649765592,0.1264366160236057
4,2025-10-10 21:17:14.132000+00:00,2025-10-10 21:17:14.132000+00:00,1065843.446131001,407593.465723999,1065843.4461310012,1065843.446131001,1065843.446131002,1057131.570670019,1018229.2783689934,1065960.5314879841,-658249.9804070019,2.3283064365386963e-10,0.0,9.313225746154785e-10,-8711.87546098209,-47614.167762007564,117.08535698312335,0.6115729626726191,0.00391166917524625,0.004861323220904656,0.00120851027904971,0.004245750096686265,0.042598625482078864,0.024824674358196068,7.800609498211849,8.287969788511734,8.287969790778172,8.28925476747849,8.242966790305145,8.239132795721163,8.2851992333551,0.8863715064049615,0.8923338444493115,0.8923338444755841,0.8923487378663592,0.8918096296690269,0.891764733540455,0.8923017185880392,7.812330201285244,8.300422768371151,8.300422770640994,8.30170967806613,8.255352151502262,8.251512396200209,8.29764805035335,272477911.188362,1065843.446131001,1.0,10942123.436786944,10925707.159377944,0.0372499422144779,0.0974073681665554
5,2025-10-10 21:17:26.528000+00:00,2025-10-10 21:17:26.528000+00:00,115496.57833500004,41011.40799004615,115496.57833500003,115496.57833500009,115496.57833500004,110074.40802176714,109540.32723999975,115521.98782499977,-74485.17034495389,-1.4551915228366852e-11,4.3655745685100555e-11,0.0,-5422.1703132328985,-5956.251095000291,25.409489999728976,0.7349777028860518,0.00046101476931520235,0.00046109033326890877,0.00013835094898208508,0.0040215968210823745,0.0059711047428395265,0.010444253912241295,11.884377697928922,11.960747360482948,11.96074736048341,11.96056711942588,11.95327869570292,11.954338368510344,11.961242561100931,0.9223866279424,0.9228439555076137,0.9228439555076164,0.9228428825077295,0.922799468498139,0.9228057835488673,0.9228469033515982,11.886217323046246,11.962598807132117,11.96259880713258,11.962418538174896,11.955128986250893,11.95618882308884,11.963094084403968,250526850.813392,115496.57833500004,1.0,10927398.388470942,10925707.159377944,0.0037530806997313,0.0105694488504103
7,2025-10-10 21:18:15.631000+00:00,2025-10-10 21:18:15.631000+00:00,8055.871928000007,8995.08546499999,8055.871928000007,8055.871928000007,8055.871928000006,81.00355773192328,278.22371999999996,1046.4580599999974,939.2135369999824,0.0,0.0,-9.094947017729282e-13,-7974.868370268084,-7777.648208000007,-7009.41386800001,0.03379276178319855,0.16519978887644837,0.16547655293756186,0.06319840928339154,0.0013949584504237456,0.0028324111215902795,0.06847968138266483,,,,,23.02111670169649,27.960627836842473,194.1410139998399,1.448872040654555,1.4848662539097255,1.4847944815878609,1.4964781709055195,0.9583699620455458,0.9654703618431972,0.994875500646928,,,,,23.02111670169649,27.960627836842473,194.1410139998399,48764.420238,8055.871928000007,64.0,1175.6931290000011,1175.6931290000011,1.0,1.0
8,2025-10-10 21:18:23.989000+00:00,2025-10-10 21:18:27.044000+00:00,1576039.2185530025,11415047.961084992,1576039.218553005,1576039.2185530025,1576039.2185530039,1517477.5953050242,1367485.9994755762,1576383.329577431,9839008.742531989,2.561137080192566e-09,0.0,1.3969838619232178e-09,-58561.62324797828,-208553.21907742624,344.11102442862466,1.0,0.00288083884132218,0.009314202775009531,0.0008449520567312744,0.002784856502844965,0.10049028180197955,0.1042158565856617,,13.795861935143934,13.795862218296794,13.795492356012161,13.69338205953606,13.50408955577527,13.80348726477484,1.0038141672768122,0.9324135353260667,0.9324135366194891,0.9324118470722166,0.9319421494691893,0.9310539281935267,0.932448349357552,,13.79756670490173,13.79756698808958,13.79719708010066,13.69507416574347,13.505758270900825,13.805192976802964,547076495.896477,1576039.2185530025,1.0,10927057.260968942,10925707.159377944,1.0,0.1442327225814546
9,2025-10-10 21:18:32.648000+00:00,2025-10-10 21:18:35.747000+00:00,44867.64211700003,16097.974908007644,44867.64211700003,44867.64211700003,44867.64211700003,4911.695364614507,12231.76865364285,44870.94525675993,-28769.66720899239,0.0,0.0,0.0,-39955.94675238553,-32635.87346335718,3.3031397598970216,0.20151552307967416,0.0033805453518900635,0.0033805453518900635,0.002219027134392617,0.003064648452863579,0.04670729846767611,0.050629337794888325,,,,,1165.4692355704778,,,1.0017927261053388,1.0087247958337384,1.0087247958337384,1.0087147773637846,0.9991427120668889,1.000874855882974,1.0087121549052198,,,,,1203.3448761519824,,,6903445.212687001,44867.64211700003,1.0,8537.544322999915,8268.822556999916,1.0,1.0
10,2025-10-10 21:18:41.686000+00:00,2025-10-10 21:18:44.652000+00:00,1622228.637648998,1071568.120978001,1622228.6376489983,1622228.6376490004,1622228.6376489955,1365559.8908626265,1245102.4433211738,1623907.1076999782,-550660.516670997,2.3283064365386963e-10,2.3283064365386963e-09,-2.561137080192566e-09,-256668.74678637157,-377126.1943278243,1678.4700509801041,0.8664529434303934,0.004044896958716228,0.014563995742006751,0.001242983509252872,0.015563376688658124,0.2816587046497839,0.11442384876397471,8.331010247777822,8.793702620618165,8.793703071888736,8.795296208451198,8.563293509311876,8.470827366843542,8.80141365612671,0.8928304681437736,0.897893571130621,0.8978935758354426,0.8979101827326857,0.8954335136711752,0.8944126039609903,0.897973901002034,8.333727665515685,8.796570959843788,8.796571411261555,8.798165067474985,8.56608669344977,8.473590390277247,8.804284510546053,401055615.06413805,1622228.637648998,1.0,10929270.918099944,10925707.159377944,0.0980457094538098,0.1484297214155821
11,2025-10-10 21:18:50.860000+00:00,2025-10-10 21:18:53.827000+00:00,373726.4693789986,1202926.644864002,373726.46937899856,373726.46937899856,373726.4693789986,336601.90839287353,313878.7104065231,373904.0514491892,829200.1754850034,-5.820766091346741e-11,-5.820766091346741e-11,0.0,-37124.560986125085,-59847.75897247554,177.5820701905759,1.0,0.0018114508402648905,0.0018114508402648905,0.0005327264220301727,0.0018370153850728003,0.09052776433795975,0.021901878468861227,3.809349858037504,3.5082190832654376,3.5082190832654376,3.510572907021742,3.4978394838759237,3.491219646544386,3.509874302689835,0.7920716875423868,0.7781829184584194,0.7781829184584194,0.7782986727820606,0.7776710343744261,0.7773433323909206,0.77826433002721,3.809555351206939,3.508408332109823,3.508408332109823,3.5107622828417853,3.4980281727988385,3.491407978364014,3.510063640824072,199475885.12861705,373726.4693789986,1.0,10926296.540315945,10925707.159377944,0.1100946364054309,0.0342043132364218
12,2025-10-10 21:19:03.101000+00:00,2025-10-10 21:19:03.101000+00:00,5177.076339999994,7682.724308999046,5177.076339999996,5177.076339999997,5177.076339999995,3597.6225693115075,3514.3885479999744,5185.071415999983,2505.647968999052,1.8189894035458565e-12,2.7284841053187847e-12,9.094947017729282e-13,-1579.4537706884867,-1662.6877920000197,7.99507599998924,0.8734522656352436,0.0003792986315706635,0.000490632749387218,0.00012499862734870188,0.01696370601609853,0.736465339293166,0.029458613571726643,830.5192993282816,683.9060469721101,683.9061387465141,683.9452096158279,615.6241150183957,612.416251041238,684.284911821587,0.9987973820922644,0.9985399457277083,0.9985399459233492,0.9985400292082327,0.9983782664744305,0.9983697856091968,0.9985407529295489,833.6816467986283,686.5101388449253,686.5102309687765,686.5494506072578,617.9682114944046,614.7481330141744,686.8904462885712,13649077.294484,5177.076339999994,1.0,19394.265893999967,19320.698953999985,0.3961338032070531,0.266938504828978
