user,n_adl_events,median_latency_ms,share_any_nonadl_fill_5000ms,mean_undo_frac_5000ms,share_any_nonadl_fill_60000ms,mean_undo_frac_60000ms,share_any_nonadl_fill_300000ms,mean_undo_frac_300000ms,strategic_score
0xf3d550523e9360f045a594ba288c92066ce441d8,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xf8232418ec88ba30bc8dbbeb0104ac96748e8426,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xe446da19f1828ff115911ce62ec6c2d45dacf33e,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x41533ac4a6016840b9328875a6a921eec5eb1bcb,7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x348c507ed1c7a2d6bc07842a267b4f5c779c3af2,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x4d069fd1e96d5ff890be0e00a801ae0afcb4dafb,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xb1450ac927878e80c8f7d66769b7c6da04bb4822,10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x02df3cba3fe1cfbb297a2a91d8aa8cec62848696,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xda2ec5ad9b89fb663f2a7e5eb3149570e2e59362,5,1062957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xa2ef6eeb01bd787cfceb4ffabce5c163cd05e514,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x91ff1b877f2fc9c0b1ba1c8aa30f08db49794657,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x30705b399410996cbe1405a24395b1046a802d20,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x678a9e71150b0d70e229f94168bcfc1309f06240,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x1ca4cd432343298e46aface331e83a476ee78d9d,2,995619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x6ae444d43a29df0b6939f76ef9112f11fe4ba18c,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x5da992af279c8fffd4a88c209d89bf292b687f2d,2,1491575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x84b7f44d98b88b80a9fcf9e5ce3a5a21c9049ff0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x84dc0af2bde4c560b9d2ca855499db8a6170f3ae,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xe7ead562e001a65060baa902ce50296eb341a9d5,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xc76ddaab29ca3481c39e55f78754d1791de526eb,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xba0d78b166a9ab1674a5d2160e7d4780d81d1656,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xcad21b0a4259babf7b88820376771c434350384e,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x84aa415a9575782d3d0efaa3ddf2f089473e86c6,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xaea8e3bd369217cc6e3e6abddf0da318fba8e59b,17,2476723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x143c79e85d0665a2c76f1009632bf25c636895fa,5,138457.0,0.0,0.0,0.0,0.0,0.2,0.11193015228426395,0.0
0x3f8793d2a0ec69f0bae47140886039a4dc63a960,10,270751.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
0xd63c228ea09e4d999f5fb3ed7d3529756e3a724f,31,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x1ae677bed390baa9dbd4fef6f920fefc72481417,6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x3302c2375019fbb671dbfec5c3a723e6715116cb,5,5772.0,0.2,0.18754057428214732,0.8,0.6965591255025754,0.8,0.6969415346803955,0.5572473004020603
0x2d57792d6f69e8040c4b8f77bfba288e3061977c,11,1089374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x0ae767e09f6d527d54df3821a5b328201fbb11fc,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x5895c3b1c5be8462796f3a9e728cd0a0ac4a8f2f,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x8ffd9d9d24e5776427b5fa4dad9ac5f77269f7ae,32,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xefbc103259b500ebe6408fc7c91535b0e158e22b,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x053c9c827f839535f05c3b03583841718b34146a,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xdf52df044f1b150dfa79590909cdac6ad83d59fc,12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xd5e17b60c0b73679ed6c18064e1eee5d12488a6c,15,379525.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.26666666666666666,0.0
0xd8b872b46d631519ffcdcf43960b0886bd7e4b39,20,976107.0,0.0,0.0,0.0,0.0,0.15,0.037269815852682145,0.0
0xf5e620633622aea91b6087d1977a1c973d2f3e1f,7,566796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xeabe1eecbf9ce1300a3573346956c6c9014a9acb,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xc5130253df1ba325a96ad610015c231533984a7a,6,2087359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x29eb62882a8bd104a64400a2971d0d6881777043,29,1141402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xdd2fdb391b49f1de04fa8587bdb49190c14d3370,12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xf69771107c4ca168d1ffcc5b07c9bbd7b60363cf,1,242678.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0x67a8214ee0d8063d4df92741ade8ef1f48299d39,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x41dffef58b798242ef7bec93e95b1b41825cb210,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x94a5a5191db573fb2e301c83a2219f79b544ed56,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x2c1599554db46744cd02e6c43262fb4bbfed5273,2,2114732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xfd810345c4bce1e44b26b7b9f1f38115ddc5558f,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x18c98cf5f65248bf0e9862789c0dcd653353fc2f,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x43aabff36dffc9cbdf34b71344d6e3a1e0942f2c,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xe06532a98a541b48f6330d2dd88e2b4b96010d6b,6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x5c89da21263aefbd8b388bc4cf0611182f477c28,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x9e985ef5b84ab162648bba1d1b2c8294880b6f6e,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x6a4c9e03a7ba3376427935a79d41e9cb35bbb29a,2,92754.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0x1747e9b568a1f9c63a593f1d27a8acc06b224447,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x886c35eaa1b6f009bd59d189d0c9f754cb33f926,10,26288.0,0.0,0.0,0.8,0.8,1.0,1.0,0.6400000000000001
0x3ced71ab2aaf23af9a955145e61c749b8be7063c,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x7364d75ea95cb871ef09d612f878b561377032a7,3,103321.0,0.0,0.0,0.3333333333333333,0.18181093086174538,1.0,0.48743013382618905,0.06060364362058179
0xec3675a8d6e486ba25402094c6877b48bc25c833,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x18eec6451070b487933000185f986e8d3be68195,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xcab6ac75d1db9f0d7cf0bc313c2f17c5348c9cbc,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x98f6bc05729902dc336fcc2415c821cb1ab9a301,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x3c4eaf232181a83622702bb0ade5bfa883375f20,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x4a5845a93cb1d5b4e512fd69f0e824bc3e53d74a,3,1350670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xe84b0dfb45a465b090cf78ff7c751f90013735f4,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xfebac99972d071ada2f4061ad5354acf994251a3,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x39cc7239631b8840292c77c6befbbf0b84adef31,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xeac6212e0ddc770d50e5730e5b2736077109c8ba,1,269003.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0x55179b64d3da11fa5429838f6b6fabd3384550d0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x447a266a4c150a355b5750a6dab3dff49ba4675f,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x815f0fc1b129daae4732099e7ff442671bf27c84,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xadc48258b9733ccb1123fca10749c9a06942fbd5,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x423ff2f517134f45a5c021e9d79ddeb2486e5c51,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xe15a3e0dc253bc877cf43fe77422f6463d592fe1,1,940601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x67003042e8300553e2999ee0b30f38343a18ef0e,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xc646f99e0108c56b757ca1c67f64c8acaceadcbb,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x0942e511b0843443e27238cab0038e9c52196231,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xfbe48d8757b57718dfba153008ce0ec1215408fb,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x8ce5c2b49089bbeb6173137019ddcbabfa8276f0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x56a9f292073b605a4591eabf311306611184bd5e,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x47be570949d92fd476d6b0e706deb1b11cb9cb8a,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x57c3ac7eaf025d5a2556a663030a4f45a6154915,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x8bc4fc4dee1b05918b40f1b42159a78b1facbaa9,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xf3604fa7edf245f344acd0f4083e409bb2fefd98,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xab9dcf8992e8bb7f1dea6e9e29463e5457ff13f4,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x0af8d9f190b5bb67a01bf6372db1eaf8020a8d57,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xcf04bef8213f4b3494e445892c219de259c58ce0,11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,59,11758.0,0.0,0.0,0.01694915254237288,0.0,0.01694915254237288,0.0,0.0
